Noticia,Ponderacion
./ElMundo\ciencia\ElMundo_ciencia_2021-12-21_48.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2021-12-21_49.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2021-12-21_50.txt,0.6
./ElMundo\ciencia\ElMundo_ciencia_2021-12-22_46.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2021-12-22_47.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2021-12-23_45.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2021-12-24_43.txt,0.6
./ElMundo\ciencia\ElMundo_ciencia_2021-12-24_44.txt,0.6
./ElMundo\ciencia\ElMundo_ciencia_2021-12-25_40.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2021-12-25_41.txt,0.25
./ElMundo\ciencia\ElMundo_ciencia_2021-12-25_42.txt,0.8571428571428571
./ElMundo\ciencia\ElMundo_ciencia_2021-12-26_39.txt,0.6666666666666666
./ElMundo\ciencia\ElMundo_ciencia_2021-12-28_37.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2021-12-28_38.txt,0.2857142857142857
./ElMundo\ciencia\ElMundo_ciencia_2021-12-31_36.txt,0.0
./ElMundo\ciencia\ElMundo_ciencia_2022-01-01_34.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2022-01-02_32.txt,0.0
./ElMundo\ciencia\ElMundo_ciencia_2022-01-02_33.txt,0.0
./ElMundo\ciencia\ElMundo_ciencia_2022-01-03_30.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2022-01-03_31.txt,0.5
./ElMundo\ciencia\ElMundo_ciencia_2022-01-05_26.txt,0.0
./ElMundo\ciencia\ElMundo_ciencia_2022-01-05_27.txt,0.0
./ElMundo\ciencia\ElMundo_ciencia_2022-01-05_28.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2022-01-05_29.txt,0.8571428571428571
./ElMundo\ciencia\ElMundo_ciencia_2022-01-06_25.txt,0.0
./ElMundo\ciencia\ElMundo_ciencia_2022-01-07_22.txt,0.5
./ElMundo\ciencia\ElMundo_ciencia_2022-01-07_23.txt,0.2857142857142857
./ElMundo\ciencia\ElMundo_ciencia_2022-01-07_24.txt,0.5
./ElMundo\ciencia\ElMundo_ciencia_2022-01-08_21.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2022-01-11_20.txt,0.5
./ElMundo\ciencia\ElMundo_ciencia_2022-01-12_18.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2022-01-12_19.txt,0.0
./ElMundo\ciencia\ElMundo_ciencia_2022-01-14_16.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2022-01-14_17.txt,0.4
./ElMundo\ciencia\ElMundo_ciencia_2022-01-15_14.txt,0.3333333333333333
./ElMundo\ciencia\ElMundo_ciencia_2022-01-15_15.txt,0.0
./ElMundo\ciencia\ElMundo_ciencia_2022-01-16_11.txt,0.0
./ElMundo\ciencia\ElMundo_ciencia_2022-01-16_12.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2022-01-16_13.txt,0.8571428571428571
./ElMundo\ciencia\ElMundo_ciencia_2022-01-17_10.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2022-01-17_6.txt,0.5
./ElMundo\ciencia\ElMundo_ciencia_2022-01-17_7.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_2022-01-17_8.txt,0.8571428571428571
./ElMundo\ciencia\ElMundo_ciencia_2022-01-17_9.txt,0.5
./ElMundo\ciencia\ElMundo_ciencia_2022-01-19_5.txt,0.2222222222222222
./ElMundo\ciencia\ElMundo_ciencia_2022-01-20_3.txt,0.4
./ElMundo\ciencia\ElMundo_ciencia_2022-01-20_4.txt,0.8571428571428571
./ElMundo\ciencia\ElMundo_ciencia_2022-01-21_2.txt,0.0
./ElMundo\ciencia\ElMundo_ciencia_2022-01-22_1.txt,1.0
./ElMundo\ciencia\ElMundo_ciencia_None_35.txt,0.0
./ElMundo\salud\ElMundo_salud_2022-01-18_43.txt,0.0
./ElMundo\salud\ElMundo_salud_2022-01-18_44.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-18_45.txt,0.0
./ElMundo\salud\ElMundo_salud_2022-01-18_46.txt,0.0
./ElMundo\salud\ElMundo_salud_2022-01-18_47.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-18_48.txt,0.5
./ElMundo\salud\ElMundo_salud_2022-01-18_49.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-18_50.txt,0.0
./ElMundo\salud\ElMundo_salud_2022-01-19_31.txt,0.0
./ElMundo\salud\ElMundo_salud_2022-01-19_32.txt,0.0
./ElMundo\salud\ElMundo_salud_2022-01-19_33.txt,0.42857142857142855
./ElMundo\salud\ElMundo_salud_2022-01-19_34.txt,1.0
./ElMundo\salud\ElMundo_salud_2022-01-19_35.txt,0.25
./ElMundo\salud\ElMundo_salud_2022-01-19_36.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-19_37.txt,0.5
./ElMundo\salud\ElMundo_salud_2022-01-19_38.txt,0.5
./ElMundo\salud\ElMundo_salud_2022-01-19_39.txt,0.6666666666666666
./ElMundo\salud\ElMundo_salud_2022-01-19_40.txt,0.75
./ElMundo\salud\ElMundo_salud_2022-01-19_41.txt,0.75
./ElMundo\salud\ElMundo_salud_2022-01-19_42.txt,0.3157894736842105
./ElMundo\salud\ElMundo_salud_2022-01-20_22.txt,0.0
./ElMundo\salud\ElMundo_salud_2022-01-20_23.txt,1.0
./ElMundo\salud\ElMundo_salud_2022-01-20_24.txt,1.0
./ElMundo\salud\ElMundo_salud_2022-01-20_25.txt,0.5
./ElMundo\salud\ElMundo_salud_2022-01-20_26.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-20_27.txt,0.0
./ElMundo\salud\ElMundo_salud_2022-01-20_28.txt,0.0
./ElMundo\salud\ElMundo_salud_2022-01-20_29.txt,0.0
./ElMundo\salud\ElMundo_salud_2022-01-20_30.txt,0.5454545454545454
./ElMundo\salud\ElMundo_salud_2022-01-21_14.txt,0.0
./ElMundo\salud\ElMundo_salud_2022-01-21_15.txt,0.5
./ElMundo\salud\ElMundo_salud_2022-01-21_16.txt,0.0
./ElMundo\salud\ElMundo_salud_2022-01-21_17.txt,0.8571428571428571
./ElMundo\salud\ElMundo_salud_2022-01-21_18.txt,0.0
./ElMundo\salud\ElMundo_salud_2022-01-21_19.txt,0.2
./ElMundo\salud\ElMundo_salud_2022-01-21_21.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-22_11.txt,0.6666666666666666
./ElMundo\salud\ElMundo_salud_2022-01-23_1.txt,0.0
./ElMundo\salud\ElMundo_salud_2022-01-23_10.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-23_12.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-23_13.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-23_2.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-23_20.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-23_3.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-23_4.txt,0.8571428571428571
./ElMundo\salud\ElMundo_salud_2022-01-23_5.txt,0.42857142857142855
./ElMundo\salud\ElMundo_salud_2022-01-23_6.txt,0.5
./ElMundo\salud\ElMundo_salud_2022-01-23_7.txt,0.0
./ElMundo\salud\ElMundo_salud_2022-01-23_8.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-23_9.txt,0.6
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-01_49.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-01_50.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-02_48.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-03_45.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-03_46.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-03_47.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-04_44.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-05_43.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-06_41.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-06_42.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-07_39.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-07_40.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-08_37.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-08_38.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-09_36.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-10_34.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-10_35.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-11_33.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-12_32.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-13_30.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-13_31.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-14_29.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-15_26.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-15_27.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-15_28.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-18_25.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-19_23.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-19_24.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-20_22.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-21_20.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-21_21.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-23_19.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-27_16.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-27_17.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-27_18.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-03_15.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-04_13.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-04_14.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-05_11.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-05_12.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-06_10.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-07_9.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-11_8.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-12_6.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-12_7.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-14_5.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-17_3.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-17_4.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-19_2.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-20_1.txt,0.0
